datetime_jst,timestamp,open,high,low,close,volume,datetime
2022-06-10 09:00:00,1654819200000.0,27996.349609375,27996.349609375,27951.169921875,27951.169921875,0.0,2022-06-10 00:00:00
2022-06-10 09:01:00,1654819260000.0,27952.19921875,27952.19921875,27886.349609375,27890.41015625,0.0,2022-06-10 00:01:00
2022-06-10 09:02:00,1654819320000.0,27894.439453125,27933.3203125,27885.6796875,27933.3203125,0.0,2022-06-10 00:02:00
2022-06-10 09:03:00,1654819380000.0,27961.6796875,28004.330078125,27961.6796875,27991.33984375,0.0,2022-06-10 00:03:00
2022-06-10 09:04:00,1654819440000.0,27995.830078125,28037.73046875,27993.51953125,28033.26953125,0.0,2022-06-10 00:04:00
2022-06-10 09:05:00,1654819500000.0,28034.75,28044.44921875,28019.630859375,28028.439453125,0.0,2022-06-10 00:05:00
2022-06-10 09:06:00,1654819560000.0,28031.380859375,28031.380859375,27986.58984375,27998.390625,0.0,2022-06-10 00:06:00
2022-06-10 09:07:00,1654819620000.0,27992.310546875,27994.310546875,27981.6796875,27982.6796875,0.0,2022-06-10 00:07:00
2022-06-10 09:08:00,1654819680000.0,27982.470703125,27983.849609375,27975.439453125,27977.529296875,0.0,2022-06-10 00:08:00
2022-06-10 09:09:00,1654819740000.0,27974.880859375,27977.890625,27970.130859375,27976.580078125,0.0,2022-06-10 00:09:00
2022-06-10 09:10:00,1654819800000.0,27975.0390625,27975.0390625,27901.259765625,27903.599609375,0.0,2022-06-10 00:10:00
2022-06-10 09:11:00,1654819860000.0,27906.279296875,27914.390625,27906.279296875,27912.279296875,0.0,2022-06-10 00:11:00
2022-06-10 09:12:00,1654819920000.0,27913.05078125,27934.419921875,27902.1796875,27934.419921875,0.0,2022-06-10 00:12:00
2022-06-10 09:13:00,1654819980000.0,27919.630859375,27931.490234375,27914.66015625,27926.310546875,0.0,2022-06-10 00:13:00
2022-06-10 09:14:00,1654820040000.0,27919.060546875,27927.189453125,27913.390625,27920.689453125,0.0,2022-06-10 00:14:00
2022-06-10 09:15:00,1654820100000.0,27919.4609375,27927.390625,27912.349609375,27921.2109375,0.0,2022-06-10 00:15:00
2022-06-10 09:16:00,1654820160000.0,27919.5390625,27923.69921875,27910.009765625,27913.029296875,0.0,2022-06-10 00:16:00
2022-06-10 09:17:00,1654820220000.0,27914.23046875,27914.23046875,27879.099609375,27879.099609375,0.0,2022-06-10 00:17:00
2022-06-10 09:18:00,1654820280000.0,27881.23046875,27883.640625,27875.220703125,27875.66015625,0.0,2022-06-10 00:18:00
2022-06-10 09:19:00,1654820340000.0,27879.01953125,27883.130859375,27855.08984375,27873.94921875,0.0,2022-06-10 00:19:00
2022-06-10 09:20:00,1654820400000.0,27870.990234375,27891.369140625,27868.939453125,27891.369140625,0.0,2022-06-10 00:20:00
2022-06-10 09:21:00,1654820460000.0,27893.130859375,27906.91015625,27890.9609375,27906.91015625,0.0,2022-06-10 00:21:00
2022-06-10 09:22:00,1654820520000.0,27907.94921875,27907.94921875,27896.80078125,27898.16015625,0.0,2022-06-10 00:22:00
2022-06-10 09:23:00,1654820580000.0,27895.759765625,27895.759765625,27859.140625,27861.01953125,0.0,2022-06-10 00:23:00
2022-06-10 09:24:00,1654820640000.0,27862.2109375,27865.640625,27850.5703125,27851.41015625,0.0,2022-06-10 00:24:00
2022-06-10 09:25:00,1654820700000.0,27852.08984375,27881.099609375,27847.91015625,27878.2890625,0.0,2022-06-10 00:25:00
2022-06-10 09:26:00,1654820760000.0,27878.720703125,27887.029296875,27874.94921875,27887.029296875,0.0,2022-06-10 00:26:00
2022-06-10 09:27:00,1654820820000.0,27886.900390625,27886.900390625,27882.16015625,27886.4609375,0.0,2022-06-10 00:27:00
2022-06-10 09:28:00,1654820880000.0,27887.51953125,27893.01953125,27866.880859375,27866.880859375,0.0,2022-06-10 00:28:00
2022-06-10 09:29:00,1654820940000.0,27863.939453125,27864.900390625,27857.470703125,27857.470703125,0.0,2022-06-10 00:29:00
2022-06-10 09:30:00,1654821000000.0,27853.759765625,27853.759765625,27831.919921875,27831.919921875,0.0,2022-06-10 00:30:00
2022-06-10 09:31:00,1654821060000.0,27831.189453125,27846.7890625,27831.189453125,27842.619140625,0.0,2022-06-10 00:31:00
2022-06-10 09:32:00,1654821120000.0,27835.30078125,27843.23046875,27834.330078125,27842.580078125,0.0,2022-06-10 00:32:00
2022-06-10 09:33:00,1654821180000.0,27845.98046875,27870.310546875,27845.98046875,27865.25,0.0,2022-06-10 00:33:00
2022-06-10 09:34:00,1654821240000.0,27865.189453125,27882.400390625,27858.240234375,27881.869140625,0.0,2022-06-10 00:34:00
2022-06-10 09:35:00,1654821300000.0,27882.720703125,27892.05078125,27882.720703125,27886.310546875,0.0,2022-06-10 00:35:00
2022-06-10 09:36:00,1654821360000.0,27887.970703125,27897.2109375,27885.76953125,27897.2109375,0.0,2022-06-10 00:36:00
2022-06-10 09:37:00,1654821420000.0,27896.169921875,27898.849609375,27877.060546875,27877.73046875,0.0,2022-06-10 00:37:00
2022-06-10 09:38:00,1654821480000.0,27875.33984375,27898.98046875,27873.939453125,27898.98046875,0.0,2022-06-10 00:38:00
2022-06-10 09:39:00,1654821540000.0,27898.810546875,27906.599609375,27897.669921875,27900.5703125,0.0,2022-06-10 00:39:00
2022-06-10 09:40:00,1654821600000.0,27902.869140625,27902.869140625,27893.220703125,27898.08984375,0.0,2022-06-10 00:40:00
2022-06-10 09:41:00,1654821660000.0,27893.8203125,27898.30078125,27891.19921875,27898.30078125,0.0,2022-06-10 00:41:00
2022-06-10 09:42:00,1654821720000.0,27899.4296875,27916.55078125,27899.4296875,27912.919921875,0.0,2022-06-10 00:42:00
2022-06-10 09:43:00,1654821780000.0,27914.130859375,27917.80078125,27912.880859375,27916.869140625,0.0,2022-06-10 00:43:00
2022-06-10 09:44:00,1654821840000.0,27908.869140625,27918.44921875,27908.869140625,27913.720703125,0.0,2022-06-10 00:44:00
2022-06-10 09:45:00,1654821900000.0,27914.08984375,27924.189453125,27906.439453125,27924.189453125,0.0,2022-06-10 00:45:00
2022-06-10 09:46:00,1654821960000.0,27925.05078125,27926.869140625,27915.640625,27916.419921875,0.0,2022-06-10 00:46:00
2022-06-10 09:47:00,1654822020000.0,27915.08984375,27915.19921875,27899.080078125,27899.080078125,0.0,2022-06-10 00:47:00
2022-06-10 09:48:00,1654822080000.0,27904.98046875,27904.98046875,27887.029296875,27890.9609375,0.0,2022-06-10 00:48:00
2022-06-10 09:49:00,1654822140000.0,27894.330078125,27897.1796875,27883.73046875,27884.810546875,0.0,2022-06-10 00:49:00
2022-06-10 09:50:00,1654822200000.0,27883.4296875,27883.4296875,27877.560546875,27878.560546875,0.0,2022-06-10 00:50:00
2022-06-10 09:51:00,1654822260000.0,27876.9296875,27880.919921875,27874.05078125,27880.55078125,0.0,2022-06-10 00:51:00
2022-06-10 09:52:00,1654822320000.0,27881.1796875,27884.4296875,27876.5703125,27876.5703125,0.0,2022-06-10 00:52:00
2022-06-10 09:53:00,1654822380000.0,27876.189453125,27880.1796875,27876.189453125,27879.2109375,0.0,2022-06-10 00:53:00
2022-06-10 09:54:00,1654822440000.0,27877.529296875,27877.529296875,27871.5,27874.560546875,0.0,2022-06-10 00:54:00
2022-06-10 09:55:00,1654822500000.0,27873.869140625,27877.169921875,27865.23046875,27877.169921875,0.0,2022-06-10 00:55:00
2022-06-10 09:56:00,1654822560000.0,27874.5,27884.990234375,27872.6796875,27880.380859375,0.0,2022-06-10 00:56:00
2022-06-10 09:57:00,1654822620000.0,27875.08984375,27878.890625,27863.08984375,27863.08984375,0.0,2022-06-10 00:57:00
2022-06-10 09:58:00,1654822680000.0,27859.830078125,27866.580078125,27856.220703125,27858.220703125,0.0,2022-06-10 00:58:00
